Florida Gators,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Merrimack Warriors,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Florida,Points Merrimack
Western Michigan,,,,,,,,,,,Western Michigan,WMU,,,,,,,,,0,,Western Michigan - 6.734,NO,MAC,"Kalamazoo, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita St.,,,,,,,,,,,Wichita St.,WICH,,,,,,,,,0,,Wichita St. - 25.395,NO,American,"Wichita, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William & Mary,,,,,,,,,,,William & Mary,W&M,,,,,,,,,0,,William & Mary - 9.398,NO,CAA,"Williamsburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winthrop,,,,,,,,,,,Winthrop,WIN,,,,,,,,,0,,Winthrop - 20.577,NO,Big South,"Rock Hill, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,Wisconsin,WIS,,,,,,,,,1,,Wisconsin - 55.763,YES,Big Ten,"Madison, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wofford,,,,,,,,,,,Wofford,WOF,,,,,,,,,0,,Wofford - 28.364,YES,Southern,"Spartanburg, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wright St.,,,,,,,,,,,Wright St.,WRST,,,,,,,,,0,,Wright St. - 18.506,NO,Horizon,"Dayton, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,Wyoming,WYO,,,,,,,,,0,,Wyoming - 13.636,NO,Mountain West,"Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier,,,,,,,,,,,Xavier,XAV,,,,,,,,,0,,Xavier - 46.89,YES,Big East,"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale,,,,,,,,,,,Yale,YALE,,,,,,,,,0,,Yale - 58.108,YES,Ivy,"New Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown St.,,,,,,,,,,,Youngstown St.,YSU,,,,,,,,,0,,Youngstown St. - 23.912,NO,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Location,HOME TEAM,,,Month,,Day,,Year,,Favorite Team,,Line,,,Over/Under,,,Clutch,,Overtime,,Attendance,,Florida SOS THOUGHT,Merrimack SOS THOUGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida,0,,
"Gainesville, FL",Florida,,,November,,21,,2025,,FLA,,-36.5,,,160.5,,,FALSE,,FALSE,,"10,935",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merrimack,0,,
Team - Record,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team - Record,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Todd Brogna,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Starter,TRUE,1,26,1,1,1,1,0,0,3,3,2,2,1,4,3,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-35,36.5,0,0,"10,935",,0,0
Florida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Merrimack,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kevair Kennedy,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Starter,TRUE,1,30,4,8,0,0,6,8,0,0,1,1,5,2,14,0,71.244,0,21.229,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-35,36.5,0,0,"10,935",,0,0
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Ernest Shelton,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Starter,TRUE,1,34,1,9,1,8,0,0,0,1,1,2,1,4,3,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-35,36.5,0,0,"10,935",,0,0
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tye Dorset,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Starter,TRUE,1,38,4,17,1,10,1,1,0,1,0,0,1,4,10,0,71.244,0,21.229,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-35,36.5,0,0,"10,935",,0,0
Madness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Madness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Andrés Marrero,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Starter,TRUE,1,25,3,8,1,6,0,0,0,1,0,0,0,0,7,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-35,36.5,0,0,"10,935",,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aliou Cisse,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Bench,FALSE,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,36.5,0,0,"10,935",,0,0
Conference,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Conference,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dylan Veillette,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Bench,TRUE,0,13,1,2,0,0,0,0,1,1,1,0,1,2,2,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,36.5,0,0,"10,935",,0,0
SEC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MAAC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,KC Ugwuakazi,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Bench,TRUE,0,10,2,5,0,0,2,2,1,0,0,1,0,1,6,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,36.5,0,0,"10,935",,0,0
Power,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Power,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jaylen Stinson,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Bench,FALSE,0,8,0,3,0,0,0,0,0,0,2,1,0,0,0,0,71.244,0,21.229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-35,36.5,0,0,"10,935",,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Malik Edmead,Merrimack Warriors,Merrimack,AWAY,Florida,SEC,1,0,0,Bench,FALSE,0,9,0,2,0,0,0,0,0,2,0,0,1,1,0,0,71.244,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,36.5,0,0,"10,935",,0,0
Top 25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Top 25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alex Condon,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Starter,TRUE,1,29,8,14,0,0,4,5,6,5,2,1,3,3,20,0,21.229,0,71.244,2,1,0,0,0,0,1,0,1,0,0,0,1,1,35,-36.5,0,0,"10,935",,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Thomas Haugh,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Starter,TRUE,1,30,5,10,0,4,3,4,2,2,2,0,1,2,13,0,21.229,0,71.244,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35,-36.5,0,0,"10,935",,0,0
Points Scored,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Points Scored,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rueben Chinyelu,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Starter,TRUE,1,27,5,8,0,0,4,6,6,15,0,2,2,2,14,0,21.229,0,71.244,2,1,0,0,0,0,0,1,1,1,0,0,1,0,35,-36.5,0,0,"10,935",,0,0
80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Boogie Fland,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Starter,TRUE,1,27,2,5,2,3,4,4,0,1,3,1,1,1,10,0,21.229,0,71.244,1,0,0,0,0,1,0,0,0,0,1,0,1,0,35,-36.5,0,0,"10,935",,0,0
Shooting:,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Shooting:,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Xaivian Lee,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Starter,TRUE,1,22,0,6,0,4,0,0,2,2,3,0,1,1,0,0,21.229,0,71.244,0,0,0,1,0,0,0,0,0,0,1,0,1,0,35,-36.5,0,0,"10,935",,0,0
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Viktor Mikic,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Bench,FALSE,0,5,1,5,0,0,0,0,2,1,0,0,0,1,2,0,21.229,0,71.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Urban Klavzar,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Bench,TRUE,0,21,2,6,2,6,0,0,0,3,3,0,1,1,6,0,21.229,0,71.244,0,0,0,0,0,0,0,0,0,0,1,0,1,0,35,-36.5,0,0,"10,935",,0,0
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CJ Ingram,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Bench,FALSE,0,10,1,2,1,1,2,2,0,0,0,0,1,1,5,0,21.229,0,71.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Isaiah Brown,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Bench,TRUE,0,16,2,5,2,3,0,0,2,1,1,0,1,1,6,0,21.229,0,71.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alex Lloyd,Florida Gators,Florida,HOME,Merrimack,MAAC,0,1,1,Bench,FALSE,0,7,1,1,1,1,0,0,2,2,0,0,0,0,3,0,21.229,0,71.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
Rebounding,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rebounding,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
AST/TURN/STL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AST/TURN/STL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
MISC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MISC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Merrimack,MAAC,0,1,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229,0,21.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-36.5,0,0,"10,935",,0,0
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Clutch SM for Merrimack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largest Lead,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Largest Lead,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,71.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LEFT ACTIVE VALUE,LEFT HISTORICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Florida - 71.244,,,FOULS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RIGHT ACTIVE VALUE,RIGHT HISTORICAL,,,Merrimack,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.5,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,Merrimack - 21.229,,,Florida,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
